ProductName , Price , Ratings
Apple iPhone 6s (Space Grey| 32 GB) , Rs26999 , 4.5
Apple iPhone SE (Rose Gold| 32 GB) , Rs16999 , 4.5
Apple iPhone SE (Gold| 32 GB) , Rs16999 , 4.5
Apple iPhone SE (Space Grey| 32 GB) , Rs17999 , 4.5
Apple iPhone 6 (Space Grey| 32 GB) , Rs22999 , 4.4
Apple iPhone 6s Plus (Space Grey| 32 GB) , Rs33999 , 4.5
Apple iPhone 7 (Rose Gold| 32 GB) , Rs37999 , 4.5
Apple iPhone 6s Plus (Gold| 32 GB) , Rs33999 , 4.4
Apple iPhone 6s Plus (Rose Gold| 32 GB) , Rs33999 , 4.4
Apple iPhone SE (Silver| 32 GB) , Rs17999 , 4.5
Apple iPhone 6s (Rose Gold| 32 GB) , Rs26999 , 4.5
Apple iPhone 7 (Gold| 32 GB) , Rs37999 , 4.5
Apple iPhone 7 (Silver| 32 GB) , Rs37999 , 4.5
Apple iPhone 6 (Gold| 32 GB) , Rs22999 , 4.4
Apple iPhone 6s (Silver| 32 GB) , Rs26999 , 4.4
Apple iPhone 6s Plus (Silver| 32 GB) , Rs33999 , 4.4
Apple iPhone XS Max (Gold| 256 GB) , Rs12490 , 4.7
Apple iPhone 6s (Gold| 32 GB) , Rs26999 , 4.4
Apple iPhone 7 (Black| 32 GB) , Rs37999 , 4.5
Apple iPhone XS (Silver| 64 GB) , Rs99900 , 4.6
Apple iPhone XS (Gold| 64 GB) , Rs99900 , 4.6
Apple iPhone 7 Plus (Jet Black| 128 GB) , Rs62990 , 4.6
Apple iPhone XR ((PRODUCT)RED| 64 GB) , Rs76900 , 4.6
Apple iPhone XR (White| 64 GB) , Rs76900 , 4.6
